"Mouse","ID","Day","Volume","Group","Baseline","death","last_day_obs"
"401","401:R",0,66.48,"Vehicle",66.48,0,28
"401","401:L",0,83.72,"Vehicle",83.72,0,28
"416","416:R",0,48.45,"Vehicle",48.45,1,16
"416","416:L",0,147.93,"Vehicle",147.93,0,16
"414","414:R",0,25.5,"Vehicle",25.5,0,28
"414","414:L",0,195.88,"Vehicle",195.88,0,28
"411","411:R",0,173.21,"Vehicle",173.21,0,16
"411","411:L",0,96.94,"Vehicle",96.94,1,16
"418","418:R",0,332.08,"Vehicle",332.08,0,12
"418","418:L",0,93.81,"Vehicle",93.81,1,12
"404","404:R",0,171.3,"Vehicle",171.3,0,16
"404","404:L",0,278.73,"Vehicle",278.73,1,16
"412","412:R",0,155.17,"Vehicle",155.17,1,12
"412","412:L",0,309.55,"Vehicle",309.55,0,12
"no tag","no tag:R",0,278.96,"Vehicle",278.96,0,28
"no tag","no tag:L",0,244.12,"Vehicle",244.12,0,28
"425","425:R",0,70.25,"JQ1",70.25,0,28
"425","425:L",0,176.63,"JQ1",176.63,0,28
"419","419:R",0,189.63,"JQ1",189.63,0,28
"419","419:L",0,138.45,"JQ1",138.45,0,28
"406","406:R",0,77.83,"JQ1",77.83,0,16
"406","406:L",0,127.98,"JQ1",127.98,1,16
"407","407:R",0,78.26,"JQ1",78.26,0,28
"407","407:L",0,72.15,"JQ1",72.15,0,28
"403","403:R",0,147.99,"JQ1",147.99,0,16
"403","403:L",0,428.58,"JQ1",428.58,1,16
"405","405:R",0,243.08,"JQ1",243.08,1,12
"405","405:L",0,184.99,"JQ1",184.99,0,12
"408","408:R",0,50.07,"JQ1",50.07,1,16
"408","408:L",0,441.27,"JQ1",441.27,0,16
"409","409:R",0,279.35,"JQ1",279.35,1,16
"409","409:L",0,58.23,"JQ1",58.23,0,16
"401","401:R",5,78.02,"Vehicle",66.48,0,28
"401","401:L",5,206.2,"Vehicle",83.72,0,28
"416","416:R",5,452.24,"Vehicle",48.45,1,16
"416","416:L",5,296.25,"Vehicle",147.93,0,16
"414","414:R",5,297.81,"Vehicle",25.5,0,28
"414","414:L",5,56.23,"Vehicle",195.88,0,28
"411","411:R",5,325.62,"Vehicle",173.21,0,16
"411","411:L",5,370.76,"Vehicle",96.94,1,16
"418","418:R",5,223.33,"Vehicle",332.08,0,12
"418","418:L",5,669.19,"Vehicle",93.81,1,12
"404","404:R",5,341.2,"Vehicle",171.3,0,16
"404","404:L",5,360.09,"Vehicle",278.73,1,16
"412","412:R",5,602.59,"Vehicle",155.17,1,12
"412","412:L",5,237.92,"Vehicle",309.55,0,12
"no tag","no tag:R",5,536.13,"Vehicle",278.96,0,28
"no tag","no tag:L",5,397.36,"Vehicle",244.12,0,28
"425","425:R",5,399.68,"JQ1",70.25,0,28
"425","425:L",5,192.48,"JQ1",176.63,0,28
"419","419:R",5,272.68,"JQ1",189.63,0,28
"419","419:L",5,107.06,"JQ1",138.45,0,28
"406","406:R",5,145.35,"JQ1",77.83,0,16
"406","406:L",5,122.95,"JQ1",127.98,1,16
"407","407:R",5,144.96,"JQ1",78.26,0,28
"407","407:L",5,119.11,"JQ1",72.15,0,28
"403","403:R",5,190.45,"JQ1",147.99,0,16
"403","403:L",5,612.04,"JQ1",428.58,1,16
"405","405:R",5,438.79,"JQ1",243.08,1,12
