"Mouse","Group","death","sac_day","last_day","sAUC","Q","Drug1","Drug2","Q_factor"
"847","JQ1+ XRT",1,22,22,36.4421507282552,22.027440751438,1,1,"22.027440751438"
"848","JQ1+ XRT",1,22,22,8.4372823056582,22.1185215764713,1,1,"22.1185215764713"
"934 (dead)","JQ1",1,6,6,3.82712642468156,6.26129264859161,1,0,"6.26129264859161"
"935","JQ1",0,NA,35,226.162694280847,36.0044215957153,1,0,"36.0044215957153"
"936","JQ1",1,22,22,20.2452973715685,22.0493941867905,1,0,"22.0493941867905"
"952","JQ1",1,22,22,50.4236661890213,22.0198319574037,1,0,"22.0198319574037"
"954","JQ1+ XRT",0,NA,35,12.7255033986251,36.0785823529864,1,1,"36.0785823529864"
"956","JQ1+ XRT",0,NA,35,74.9039544840553,36.0133504299858,1,1,"36.0133504299858"
"958","JQ1",0,NA,35,92.076770323934,36.010860502562,1,0,"36.010860502562"
"961","JQ1",0,NA,35,11.61241939726,36.086114698909,1,0,"36.086114698909"
"965","JQ1+ XRT",0,NA,35,63.078825938547,36.0158531802886,1,1,"36.0158531802886"
"967","JQ1+ XRT",0,NA,35,17.4057735125108,36.0574522010918,1,1,"36.0574522010918"
"970","JQ1",0,NA,35,192.245611312681,36.0052016792122,1,0,"36.0052016792122"
"971","JQ1",0,NA,35,24.1856931531015,36.041346757923,1,0,"36.041346757923"
"972(no tag)","JQ1+ XRT",0,NA,35,17.3771721547908,36.0575467625625,1,1,"36.0575467625625"
"977","JQ1",1,22,22,577.621886852609,22.0017312363378,1,0,"22.0017312363378"
"991","JQ1+ XRT",0,NA,35,28.0998745513326,36.035587347487,1,1,"36.035587347487"
"996","JQ1+ XRT",0,NA,35,15.0669668838758,36.0663703589254,1,1,"36.0663703589254"
"999","JQ1+ XRT",0,NA,35,8.10108564702377,36.123440245366,1,1,"36.123440245366"
"837","XRT",1,22,22,75.3300605933953,22.0132749129912,0,1,"22.0132749129912"
"951","Vehicle",1,22,22,127.426071516258,22.0078476875894,0,0,"22.0078476875894"
"953","Vehicle",0,NA,35,90.2047716830395,36.011085888045,0,0,"36.011085888045"
"955","Vehicle",1,22,22,18.0536986799073,22.0553903118541,0,0,"22.0553903118541"
"960","XRT",1,22,22,112.499827816314,22.0088889024935,0,1,"22.0088889024935"
"966","Vehicle",1,22,22,30.4579181451377,22.0328321848931,0,0,"22.0328321848931"
"968","XRT",1,30,30,11.6714624021429,30.0856790662168,0,1,"30.0856790662168"
"969","XRT",1,22,22,19.3729791444784,22.0516182871278,0,1,"22.0516182871278"
"973","Vehicle",0,NA,35,197.672881853679,36.0050588628578,0,0,"36.0050588628578"
"974","XRT",0,NA,35,14.7802267507422,36.0676579606568,0,1,"36.0676579606568"
"976","XRT",1,27,27,24.0624816032233,27.0415584733316,0,1,"27.0415584733316"
"979","XRT",0,NA,35,59.6173562047322,36.0167736388136,0,1,"36.0167736388136"
"980","Vehicle",0,NA,35,34.1778207928303,36.0292587408092,0,0,"36.0292587408092"
"982","Vehicle",0,NA,35,109.651155332463,36.009119830949,0,0,"36.009119830949"
"986","Vehicle",0,NA,35,68.7838826511881,36.0145382895157,0,0,"36.0145382895157"
"992","Vehicle",0,NA,35,174.014433257612,36.0057466497536,0,0,"36.0057466497536"
"997","XRT",0,NA,35,28.5694047353887,36.0350024793748,0,1,"36.0350024793748"
"998","XRT",0,NA,35,32.8366181780664,36.0304538060094,0,1,"36.0304538060094"
