"Mouse","Group","death","sac_day","last_day","sAUC","Q","Drug1","Drug2","Q_factor","Group2","status"
"420","Vehicle",1,20,20,105.948488486231,20.0094385489995,0,0,"20.0094385489995","A",1
"421","JQ1+RT",1,20,20,38.4683940354191,20.025995366458,1,1,"20.025995366458","D",1
"422","Vehicle",1,20,20,65.3909068660258,20.015292646148,0,0,"20.015292646148","A",1
"423","Vehicle",1,20,20,44.0315175114155,20.0227110046739,0,0,"20.0227110046739","A",1
"424","RT",0,NA,29,78.6360869859722,30.0127168077447,0,1,"30.0127168077447","C",1
"475","JQ1",0,NA,29,83.9984531156476,30.0119049811384,1,0,"30.0119049811384","B",1
"477","RT",1,20,20,20.9151046501984,20.0478123354736,0,1,"20.0478123354736","C",1
"479","Vehicle",1,20,20,63.7787986948539,20.0156791915255,0,0,"20.0156791915255","A",1
"480","Vehicle",1,20,20,44.1199444535576,20.0226654863778,0,0,"20.0226654863778","A",1
"481","JQ1+RT",1,20,20,57.5582312551191,20.0173737096883,1,1,"20.0173737096883","D",1
"483","RT",0,NA,29,280.891685146001,30.0035600911415,0,1,"30.0035600911415","C",1
"484","RT",1,20,20,23.1431188588925,20.0432093879004,0,1,"20.0432093879004","C",1
"485","JQ1",0,NA,29,214.195686717751,30.0046686280911,1,0,"30.0046686280911","B",1
"487","JQ1",0,NA,29,76.4495481289712,30.0130805220498,1,0,"30.0130805220498","B",1
"488","JQ1+RT",0,NA,29,68.9468711969275,30.0145039213911,1,1,"30.0145039213911","D",1
"489","JQ1",1,20,20,38.9172909215794,20.0256955193005,1,0,"20.0256955193005","B",1
"495","JQ1+RT",0,NA,29,33.0449398160569,30.0302618193759,1,1,"30.0302618193759","D",1
"497","JQ1",1,20,20,40.0493038302455,20.0249692230416,1,0,"20.0249692230416","B",1
"571","JQ1+RT",0,NA,29,46.9508842097053,30.0212988534046,1,1,"30.0212988534046","D",1
"no tag","RT",0,NA,29,36.0631126023354,30.0277291650066,0,1,"30.0277291650066","C",1
