"Group","Mouse","Tumor","ID","Day","Volume","death","last_day_obs","sac_day","Baseline","Drug1","Drug2"
"Vehicle","980","R","980:R",-1,107.45865,0,35,NA,107.45865,0,0
"Vehicle","980","L","980:L",-1,479.575978466667,0,35,NA,479.575978466667,0,0
"Vehicle","973","R","973:R",-1,457.92251544,0,35,NA,457.92251544,0,0
"Vehicle","973","L","973:L",-1,157.817708333333,0,35,NA,157.817708333333,0,0
"Vehicle","955","R","955:R",-1,128.680331626667,1,19,22,128.680331626667,0,0
"Vehicle","955","L","955:L",-1,1674.53775292,0,19,22,1674.53775292,0,0
"Vehicle","992","R","992:R",-1,59.49570264,0,35,NA,59.49570264,0,0
"Vehicle","992","L","992:L",-1,112.06776808,0,35,NA,112.06776808,0,0
"Vehicle","982","R","982:R",-1,154.981203463333,0,35,NA,154.981203463333,0,0
"Vehicle","982","L","982:L",-1,147.801841,0,35,NA,147.801841,0,0
"Vehicle","951","R","951:R",-1,348.738657333333,0,19,22,348.738657333333,0,0
"Vehicle","951","L","951:L",-1,127.43078328,1,19,22,127.43078328,0,0
"Vehicle","953","R","953:R",-1,1061.36940266667,0,35,NA,1061.36940266667,0,0
"Vehicle","953","L","953:L",-1,649.117732973333,0,35,NA,649.117732973333,0,0
"Vehicle","966","R","966:R",-1,352.018858333333,1,19,22,352.018858333333,0,0
"Vehicle","966","L","966:L",-1,703.64494872,0,19,22,703.64494872,0,0
"Vehicle","986","R","986:R",-1,152.70590556,0,35,NA,152.70590556,0,0
"Vehicle","986","L","986:L",-1,380.094404266667,0,35,NA,380.094404266667,0,0
"JQ1","970","R","970:R",-1,86.407776,0,35,NA,86.407776,1,0
"JQ1","970","L","970:L",-1,168.77957184,0,35,NA,168.77957184,1,0
"JQ1","935","R","935:R",-1,341.963113,0,35,NA,341.963113,1,0
"JQ1","935","L","935:L",-1,190.972599906667,0,35,NA,190.972599906667,1,0
"JQ1","934 (dead)","R","934 (dead):R",-1,281.946570186667,0,3,6,281.946570186667,1,0
"JQ1","934 (dead)","L","934 (dead):L",-1,746.931628053333,1,3,6,746.931628053333,1,0
"JQ1","977","R","977:R",-1,458.270266253333,0,19,22,458.270266253333,1,0
"JQ1","977","L","977:L",-1,53.9234753866667,1,19,22,53.9234753866667,1,0
"JQ1","961","R","961:R",-1,63.82340136,0,35,NA,63.82340136,1,0
"JQ1","961","L","961:L",-1,749.15541792,0,35,NA,749.15541792,1,0
"JQ1","936","R","936:R",-1,617.455814583333,1,19,22,617.455814583333,1,0
"JQ1","936","L","936:L",-1,989.36038136,0,19,22,989.36038136,1,0
"JQ1","971","R","971:R",-1,105.65027376,0,35,NA,105.65027376,1,0
"JQ1","971","L","971:L",-1,1559.76859050667,0,35,NA,1559.76859050667,1,0
"JQ1","952","R","952:R",-1,1761.34583025,1,19,22,1761.34583025,1,0
"JQ1","952","L","952:L",-1,864.85112316,0,19,22,864.85112316,1,0
"JQ1","958","R","958:R",-1,107.9689,0,35,NA,107.9689,1,0
"JQ1","958","L","958:L",-1,267.21445059,0,35,NA,267.21445059,1,0
"XRT","837","R","837:R",-1,1131.9072,0,19,22,1131.9072,0,1
"XRT","837","L","837:L",-1,222.129984666667,1,19,22,222.129984666667,0,1
"XRT","976","R","976:R",-1,89.6208333333333,0,35,NA,89.6208333333333,0,1
"XRT","976","L","976:L",-1,218.524614163333,0,35,NA,218.524614163333,0,1
"XRT","960","R","960:R",-1,282.27401776,1,19,22,282.27401776,0,1
"XRT","960","L","960:L",-1,56.3806802933333,0,19,22,56.3806802933333,0,1
"XRT","979","R","979:R",-1,388.87770856,0,35,NA,388.87770856,0,1
"XRT","979","L","979:L",-1,224.557058133333,0,35,NA,224.557058133333,0,1
"XRT","998","R","998:R",-1,800.514922643333,0,35,NA,800.514922643333,0,1
"XRT","998","L","998:L",-1,622.253813083333,0,35,NA,622.253813083333,0,1
"XRT","974","R","974:R",-1,244.11010608,0,35,NA,244.11010608,0,1
"XRT","974","L","974:L",-1,865.29655728,0,35,NA,865.29655728,0,1
"XRT","968","R","968:R",-1,70.5191666666667,0,35,NA,70.5191666666667,0,1
"XRT","968","L","968:L",-1,1512.72824004,0,35,NA,1512.72824004,0,1
"XRT","997","R","997:R",-1,468.35549985,0,35,NA,468.35549985,0,1
"XRT","997","L","997:L",-1,748.341703666667,0,35,NA,748.341703666667,0,1
"XRT","969","R","969:R",-1,251.632692,1,19,22,251.632692,0,1
"XRT","969","L","969:L",-1,897.232297276666,0,19,22,897.232297276666,0,1
"JQ1+ XRT","991","R","991:R",-1,31.82705256,0,35,NA,31.82705256,1,1
"JQ1+ XRT","991","L","991:L",-1,147.9949824,0,35,NA,147.9949824,1,1
"JQ1+ XRT","965","R","965:R",-1,686.60025,0,35,NA,686.60025,1,1
"JQ1+ XRT","965","L","965:L",-1,254.7875442,0,35,NA,254.7875442,1,1
"JQ1+ XRT","956","R","956:R",-1,447.55510365,0,35,NA,447.55510365,1,1
"JQ1+ XRT","956","L","956:L",-1,104.202697126667,0,35,NA,104.202697126667,1,1
"JQ1+ XRT","972(no tag)","R","972(no tag):R",-1,533.88599832,0,35,NA,533.88599832,1,1
"JQ1+ XRT","972(no tag)","L","972(no tag):L",-1,645.350384,0,35,NA,645.350384,1,1
