"Group","Mouse","Tumor","ID","Day","Volume","death","last_day_obs","sac_day"
"JQ1","970","R","970:R",-7,102.661536456667,0,35,NA
"JQ1","970","L","970:L",-7,127.63693056,0,35,NA
"JQ1","935","R","935:R",-7,48.15527236,0,35,NA
"JQ1","935","L","935:L",-7,105.157762666667,0,35,NA
"JQ1","934 (dead)","R","934 (dead):R",-7,147.80776304,0,3,6
"JQ1","934 (dead)","L","934 (dead):L",-7,222.071266666667,1,3,6
"JQ1","977","R","977:R",-7,512.1689168,0,19,22
"JQ1","977","L","977:L",-7,93.2652151966667,1,19,22
"JQ1","961","R","961:R",-7,52.1587964333333,0,35,NA
"JQ1","961","L","961:L",-7,62.918064,0,35,NA
"JQ1","936","R","936:R",-7,210.016341423333,1,19,22
"JQ1","936","L","936:L",-7,137.535113833333,0,19,22
"JQ1","971","R","971:R",-7,184.27505736,0,35,NA
"JQ1","971","L","971:L",-7,31.1958084166667,0,35,NA
"JQ1","952","R","952:R",-7,101.62052964,1,19,22
"JQ1","952","L","952:L",-7,129.05522931,0,19,22
"JQ1","958","R","958:R",-7,85.43410125,0,35,NA
"JQ1","958","L","958:L",-7,228.25745184,0,35,NA
"JQ1+ XRT","991","R","991:R",-7,48.15527236,0,35,NA
"JQ1+ XRT","991","L","991:L",-7,105.157762666667,0,35,NA
"JQ1+ XRT","965","R","965:R",-7,179.41585084,0,35,NA
"JQ1+ XRT","965","L","965:L",-7,112.162273706667,0,35,NA
"JQ1+ XRT","956","R","956:R",-7,79.3082229166667,0,35,NA
"JQ1+ XRT","956","L","956:L",-7,92.2888369066667,0,35,NA
"JQ1+ XRT","972(no tag)","R","972(no tag):R",-7,92.2415359466667,0,35,NA
"JQ1+ XRT","972(no tag)","L","972(no tag):L",-7,105.524933333333,0,35,NA
"JQ1+ XRT","954","R","954:R",-7,98.9623793866667,0,35,NA
"JQ1+ XRT","954","L","954:L",-7,118.584419413333,0,35,NA
"JQ1+ XRT","999","R","999:R",-7,61.94429505,0,35,NA
"JQ1+ XRT","999","L","999:L",-7,157.87807588,0,35,NA
"JQ1+ XRT","847","R","847:R",-7,0,0,19,22
"JQ1+ XRT","847","L","847:L",-7,0,1,19,22
"JQ1+ XRT","848","R","848:R",-7,133.653514913333,1,19,22
"JQ1+ XRT","848","L","848:L",-7,90.75032064,0,19,22
"JQ1+ XRT","996","R","996:R",-7,0,0,35,NA
"JQ1+ XRT","996","L","996:L",-7,0,0,35,NA
"JQ1+ XRT","967","R","967:R",-7,96.19976552,0,35,NA
"JQ1+ XRT","967","L","967:L",-7,120.35798352,0,35,NA
"JQ1","970","R","970:R",-4,105.623504213333,0,35,NA
"JQ1","970","L","970:L",-4,307.53999636,0,35,NA
"JQ1","935","R","935:R",-4,204.69011904,0,35,NA
"JQ1","935","L","935:L",-4,84.44042784,0,35,NA
"JQ1","934 (dead)","R","934 (dead):R",-4,175.23054798,0,3,6
"JQ1","934 (dead)","L","934 (dead):L",-4,465.31363584,1,3,6
"JQ1","977","R","977:R",-4,57.38016375,0,19,22
"JQ1","977","L","977:L",-4,38.9717436666667,1,19,22
"JQ1","961","R","961:R",-4,99.7383236266667,0,35,NA
"JQ1","961","L","961:L",-4,121.5647232,0,35,NA
"JQ1","936","R","936:R",-4,311.59892992,1,19,22
"JQ1","936","L","936:L",-4,371.93613372,0,19,22
"JQ1","971","R","971:R",-4,120.023046,0,35,NA
"JQ1","971","L","971:L",-4,50.4745737,0,35,NA
"JQ1","952","R","952:R",-4,202.566267,1,19,22
"JQ1","952","L","952:L",-4,203.03219433,0,19,22
"JQ1","958","R","958:R",-4,113.507075,0,35,NA
"JQ1","958","L","958:L",-4,143.797922333333,0,35,NA
"JQ1+ XRT","991","R","991:R",-4,44.17070656,0,35,NA
