"Group","Mouse","Tumor","ID","Day","Volume","death","last_day_obs","sac_day"
"JQ1","970","L","970:L",-7,127.63693056,0,35,NA
"JQ1","935","L","935:L",-7,105.157762666667,0,35,NA
"JQ1","934 (dead)","L","934 (dead):L",-7,222.071266666667,1,3,6
"JQ1","977","L","977:L",-7,93.2652151966667,1,19,22
"JQ1","961","L","961:L",-7,62.918064,0,35,NA
"JQ1","936","L","936:L",-7,137.535113833333,1,19,22
"JQ1","971","L","971:L",-7,31.1958084166667,0,35,NA
"JQ1","952","L","952:L",-7,129.05522931,1,19,22
"JQ1","958","L","958:L",-7,228.25745184,0,35,NA
"JQ1+ XRT","991","L","991:L",-7,105.157762666667,0,35,NA
"JQ1+ XRT","965","L","965:L",-7,112.162273706667,0,35,NA
"JQ1+ XRT","956","L","956:L",-7,92.2888369066667,0,35,NA
"JQ1+ XRT","972(no tag)","L","972(no tag):L",-7,105.524933333333,0,35,NA
"JQ1+ XRT","954","L","954:L",-7,118.584419413333,0,35,NA
"JQ1+ XRT","999","L","999:L",-7,157.87807588,0,35,NA
"JQ1+ XRT","847","L","847:L",-7,0,1,19,22
"JQ1+ XRT","848","L","848:L",-7,90.75032064,1,19,22
"JQ1+ XRT","996","L","996:L",-7,0,0,35,NA
"JQ1+ XRT","967","L","967:L",-7,120.35798352,0,35,NA
"JQ1","970","L","970:L",-4,307.53999636,0,35,NA
"JQ1","935","L","935:L",-4,84.44042784,0,35,NA
"JQ1","934 (dead)","L","934 (dead):L",-4,465.31363584,1,3,6
"JQ1","977","L","977:L",-4,38.9717436666667,1,19,22
"JQ1","961","L","961:L",-4,121.5647232,0,35,NA
"JQ1","936","L","936:L",-4,371.93613372,1,19,22
"JQ1","971","L","971:L",-4,50.4745737,0,35,NA
"JQ1","952","L","952:L",-4,203.03219433,1,19,22
"JQ1","958","L","958:L",-4,143.797922333333,0,35,NA
"JQ1+ XRT","991","L","991:L",-4,89.966652,0,35,NA
"JQ1+ XRT","965","L","965:L",-4,315.48535502,0,35,NA
"JQ1+ XRT","956","L","956:L",-4,167.68662576,0,35,NA
"JQ1+ XRT","972(no tag)","L","972(no tag):L",-4,121.5647232,0,35,NA
"JQ1+ XRT","954","L","954:L",-4,237.6084315,0,35,NA
"JQ1+ XRT","999","L","999:L",-4,222.5782249,0,35,NA
"JQ1+ XRT","847","L","847:L",-4,260.997612213333,1,19,22
"JQ1+ XRT","848","L","848:L",-4,147.416877,1,19,22
"JQ1+ XRT","996","L","996:L",-4,125.542190506667,0,35,NA
"JQ1+ XRT","967","L","967:L",-4,288.411721333333,0,35,NA
"JQ1","970","L","970:L",-1,168.77957184,0,35,NA
"JQ1","935","L","935:L",-1,190.972599906667,0,35,NA
