"Cage","Mouse","Tumor","ID","Day","Volume","Group","JQ1","RT","death","sac_day","last_day_obs","Baseline"
"A","485","R","485:R",0,461.43932643,"JQ1",1,0,0,NA,29,461.43932643
"A","485","L","485:L",0,49.9157322,"JQ1",1,0,0,NA,29,49.9157322
"A","497","R","497:R",0,137.867365083333,"JQ1",1,0,1,20,18,137.867365083333
"A","497","L","497:L",0,246.153972376667,"JQ1",1,0,0,20,18,246.153972376667
"A","489","R","489:R",0,117.58668075,"JQ1",1,0,1,20,18,117.58668075
"A","489","L","489:L",0,121.229062433333,"JQ1",1,0,0,20,18,121.229062433333
"A","487","R","487:R",0,199.789675946667,"JQ1",1,0,0,NA,29,199.789675946667
"A","487","L","487:L",0,498.17399175,"JQ1",1,0,0,NA,29,498.17399175
"A","475","R","475:R",0,259.948497916667,"JQ1",1,0,0,NA,29,259.948497916667
"A","475","L","475:L",0,186.22722048,"JQ1",1,0,0,NA,29,186.22722048
"B","421","R","421:R",0,453.646552406667,"JQ1+RT",1,1,1,20,18,453.646552406667
"B","421","L","421:L",0,228.492141196667,"JQ1+RT",1,1,0,20,18,228.492141196667
"B","571","R","571:R",0,138.411635413333,"JQ1+RT",1,1,0,NA,29,138.411635413333
"B","571","L","571:L",0,131.5048485,"JQ1+RT",1,1,0,NA,29,131.5048485
"B","481","R","481:R",0,362.829528746667,"JQ1+RT",1,1,0,20,18,362.829528746667
"B","481","L","481:L",0,141.709496296667,"JQ1+RT",1,1,1,20,18,141.709496296667
"B","495","R","495:R",0,125.334068166667,"JQ1+RT",1,1,0,NA,29,125.334068166667
"B","495","L","495:L",0,415.345269913333,"JQ1+RT",1,1,0,NA,29,415.345269913333
"B","488","R","488:R",0,147.9838668,"JQ1+RT",1,1,0,NA,29,147.9838668
"B","488","L","488:L",0,136.601775,"JQ1+RT",1,1,0,NA,29,136.601775
"C","no tag","R","no tag:R",0,104.403139026667,"RT",0,1,0,NA,29,104.403139026667
"C","no tag","L","no tag:L",0,166.587669196667,"RT",0,1,0,NA,29,166.587669196667
"C","477","R","477:R",0,135.34264128,"RT",0,1,1,20,18,135.34264128
"C","477","L","477:L",0,129.570511683333,"RT",0,1,0,20,18,129.570511683333
"C","424","R","424:R",0,199.120074086667,"RT",0,1,0,NA,29,199.120074086667
"C","424","L","424:L",0,221.350950666667,"RT",0,1,0,NA,29,221.350950666667
"C","484","R","484:R",0,226.25310192,"RT",0,1,0,20,18,226.25310192
"C","484","L","484:L",0,466.8416352,"RT",0,1,1,20,18,466.8416352
"C","483","R","483:R",0,577.04058675,"RT",0,1,0,NA,29,577.04058675
"C","483","L","483:L",0,51.3227819,"RT",0,1,0,NA,29,51.3227819
"D","479","R","479:R",0,408.3685552,"Vehicle",0,0,0,20,18,408.3685552
"D","479","L","479:L",0,402.553141226667,"Vehicle",0,0,1,20,18,402.553141226667
"D","480","R","480:R",0,141.47159472,"Vehicle",0,0,1,20,18,141.47159472
"D","480","L","480:L",0,149.943896666667,"Vehicle",0,0,0,20,18,149.943896666667
"D","420","R","420:R",0,310.249600746667,"Vehicle",0,0,0,20,18,310.249600746667
"D","420","L","420:L",0,133.63076352,"Vehicle",0,0,1,20,18,133.63076352
"D","423","R","423:R",0,160.62553506,"Vehicle",0,0,0,20,18,160.62553506
"D","423","L","423:L",0,263.97274128,"Vehicle",0,0,1,20,18,263.97274128
"D","422","R","422:R",0,174.287274186667,"Vehicle",0,0,1,20,18,174.287274186667
"D","422","L","422:L",0,137.41882812,"Vehicle",0,0,0,20,18,137.41882812
"A","485","R","485:R",1,134.783386346667,"JQ1",1,0,0,NA,29,461.43932643
"A","485","L","485:L",1,516.092449373333,"JQ1",1,0,0,NA,29,49.9157322
"A","497","R","497:R",1,229.111329833333,"JQ1",1,0,1,20,18,137.867365083333
"A","497","L","497:L",1,472.636328313333,"JQ1",1,0,0,20,18,246.153972376667
"A","489","R","489:R",1,157.440803666667,"JQ1",1,0,1,20,18,117.58668075
"A","489","L","489:L",1,85.23563598,"JQ1",1,0,0,20,18,121.229062433333
"A","487","R","487:R",1,310.716839026667,"JQ1",1,0,0,NA,29,199.789675946667
"A","487","L","487:L",1,587.88290784,"JQ1",1,0,0,NA,29,498.17399175
"A","475","R","475:R",1,276.803678796667,"JQ1",1,0,0,NA,29,259.948497916667
"A","475","L","475:L",1,103.1600528,"JQ1",1,0,0,NA,29,186.22722048
"B","421","R","421:R",1,373.0888026,"JQ1+RT",1,1,1,20,18,453.646552406667
"B","421","L","421:L",1,554.64496065,"JQ1+RT",1,1,0,20,18,228.492141196667
"B","571","R","571:R",1,169.875867776667,"JQ1+RT",1,1,0,NA,29,138.411635413333
"B","571","L","571:L",1,81.6714,"JQ1+RT",1,1,0,NA,29,131.5048485
